Subject,CourseCode,Class Nbr,Course Title,Days,Start Time,End Time,Location,Enrl Cap,Classroom,Inst Last Nm
CSE,110,84789,Principles of Programming,TTh,10:30 AM,11:45 AM,POLY,64,SANTN331,Baron
CSE,205,84863,Object-Oriented Program & Data,TTh,10:30 AM,11:45 AM,POLY,40,TECH169,Balasooriya
CSE,230,75416,Computer Org/Assemb Lang Prog,TTh,3:00 PM,4:15 PM,POLY,150,NA,Staff
CSE,240,84865,Intro to Programming Languages,TTh,10:30 AM,11:45 AM,POLY,150,PICHO150,Gonzalez Sanchez
CSE,564,80013,Software Design,MW,3:05 PM,4:20 PM,POLY,112,NA,Gaffar
CPI,101,72251,Introduction to Informatics,TTh,1:30 PM,2:45 PM,TEMPE,120,WGHL101,Atkinson
CPI,111,72855,Game Development I,MWF,12:55 PM,1:45 PM,TEMPE,179,SCOB210,Selgrad
CPI,200,83885,Math Foundation of Informatics,MW,3:05 PM,4:20 PM,TEMPE,50,ECGG236,Hansford
CPI,211,72853,Game Development II,MW,3:05 PM,4:20 PM,TEMPE,100,BYENGM1-11,Selgrad
CPI,220,79650,App Data Struct and Algorithms,TTh,3:00 PM,4:15 PM,TEMPE,75,BYAC110,Walker
CPI,310,74187,Web Information Mgt System,MW,4:35 PM,5:50 PM,TEMPE,99,SHESC340,Selgrad
CPI,311,72854,Game Engine Development,T,4:50 PM,7:40 PM,TEMPE,51,BYENGM1-11,Kobayashi
CPI,360,75032,Decision Making & Problem Solv,TTh,4:30 PM,5:45 PM,TEMPE,80,BYAC110,VanLehn
CPI,421,73851,3-D Modeling and Texturing,Th,4:50 PM,7:40 PM,TEMPE,51,BYENGM1-11,Kobayashi
CSE,100,84956,Prin of Programming with C++,MWF,11:50 AM,12:40 PM,TEMPE,100,CAVC351,Tadayon-Navabi
CSE,110,77700,Principles of Programming,MWF,10:45 AM,11:35 AM,TEMPE,220,NEEB105,Baron
CSE,110,77711,Principles of Programming,MWF,9:40 AM,10:30 AM,TEMPE,220,PSF166,Tadayon-Navabi
CSE,120,70690,Digital Design Fundamentals,TTh,9:00 AM,10:15 AM,TEMPE,60,ECGG224,Hartin
CSE,120,70691,Digital Design Fundamentals,MW,3:05 PM,4:20 PM,TEMPE,46,ECGG224,Kiehl
CSE,120,70692,Digital Design Fundamentals,TTh,1:30 PM,2:45 PM,TEMPE,51,ECGG224,Matar
CSE,120,70693,Digital Design Fundamentals,TTh,12:00 PM,1:15 PM,TEMPE,53,ECGG224,Goryll
CSE,120,76298,Digital Design Fundamentals,TTh,10:30 AM,11:45 AM,TEMPE,60,ECGG224,Reisslein
CSE,205,70695,Object-Oriented Program & Data,MWF,9:40 AM,10:30 AM,TEMPE,175,PSH150,Feng
CSE,205,73825,Object-Oriented Program & Data,TTh,4:30 PM,5:45 PM,TEMPE,175,PSH150,Grover
CSE,205,84115,Object-Oriented Program & Data,MW,6:00 PM,7:15 PM,TEMPE,175,PSH152,Grover
CSE,220,70696,Programming for Computer Engr,MWF,10:45 AM,11:35 AM,TEMPE,100,SHESC340,Selgrad
CSE,230,70697,Computer Org/Assemb Lang Prog,TTh,12:00 PM,1:15 PM,TEMPE,175,CDN60,Nakamura
CSE,230,70698,Computer Org/Assemb Lang Prog,MWF,12:55 PM,1:45 PM,TEMPE,175,PSH152,Calliss
CSE,230,70699,Computer Org/Assemb Lang Prog,MW,4:35 PM,5:50 PM,TEMPE,175,PSH150,Nakamura
CSE,240,75416,Intro to Programming Languages,TTh,12:00 PM,1:15 PM,TEMPE,345,NEEB105,Chen
CSE,240,89045,Intro to Programming Languages,TTh,3:00 PM,4:15 PM,TEMPE,250,MUR101,Chen
CSE,259,84983,Logic in Computer Science,MW,12:15 PM,1:30 PM,TEMPE,120,WGHL101,Lee
CSE,310,70700,Data Structures and Algorithms,MWF,10:45 AM,11:35 AM,TEMPE,130,WGHL101,Feng
CSE,310,78465,Data Structures and Algorithms,MW,6:00 PM,7:15 PM,TEMPE,125,COORL1-74,Yang
CSE,310,86470,Data Structures and Algorithms,TTh,10:30 AM,11:45 AM,TEMPE,125,COORL1-74,Xue
CSE,310,88400,Data Structures and Algorithms,MW,12:15 PM,1:30 PM,TEMPE,120,WGHL101,Syrotiuk
CSE,320,70701,Design/Syn Digital Hardware,TTh,6:00 PM,7:15 PM,TEMPE,98,DISCVRY150,Ren
CSE,325,70689,Embedded Microprocessor System,TTh,10:30 AM,11:45 AM,TEMPE,80,COOR199,Shrivastava
CSE,330,80810,Operating Systems,TTh,3:00 PM,4:15 PM,TEMPE,150,LL2,Banerjee
CSE,335,82965,Princ of Mobile App Dev,MWF,11:50 AM,12:40 PM,TEMPE,128,CDN68,Balasooriya
CSE,340,78011,Principles of Programming Lang,MWF,2:00 PM,2:50 PM,TEMPE,350,BAC116,Bazzi
CSE,355,83202,Intro Theoretical Computer Sci,TTh,6:00 PM,7:15 PM,TEMPE,100,COOR174,McDaniel
CSE,355,86475,Intro Theoretical Computer Sci,MWF,8:35 AM,9:25 AM,TEMPE,130,CAVC351,Colbourn
CSE,355,86476,Intro Theoretical Computer Sci,MWF,11:50 AM,12:40 PM,TEMPE,126,COORL1-74,Colbourn
CSE,365,70710,Information Assurance,TTh,12:00 PM,1:15 PM,TEMPE,132,COORL1-74,Doupe
CSE,408,80222,Multimedia Information Systems,TTh,6:00 PM,7:15 PM,TEMPE,69,CAVC359,Caviedes
CSE,412,70704,Database Management,TTh,4:30 PM,5:45 PM,TEMPE,125,COOR174,Nakamura
CSE,420,78028,Computer Architecture I,TTh,1:30 PM,2:45 PM,TEMPE,125,COORL1-74,Shrivastava
CSE,423,70705,Systems Capstone Project I,T,9:00 AM,10:15 AM,TEMPE,51,BYAC270,Meuth
CSE,424,74192,Systems Capstone Project II,Th,10:30 AM,11:45 AM,TEMPE,42,BYAC190,Meuth
